,city,county,address,number,country,full_address,latitude,longitude
0,Poznań,Poznań,ul.Dmowskiego 5/7,88485,Poland,"ul.Dmowskiego 5/7,Poznań,Poland",52.3930641,16.9009424
1,Poznań,Poznań,ul. Bogusławskiego 16,87156,Poland,"ul. Bogusławskiego 16,Poznań,Poland",52.3942147,16.894152
2,Poznań,Poznań,ul. Bogusławskiego 32,88477,Poland,"ul. Bogusławskiego 32,Poznań,Poland",52.3922084,16.8928169
3,Poznań,Poznań,ul. Bogusławskiego 16,87852,Poland,"ul. Bogusławskiego 16,Poznań,Poland",52.3942147,16.894152
4,Poznań,Poznań,ul. Stablewskiego 6,88481,Poland,"ul. Stablewskiego 6,Poznań,Poland",52.3928384,16.8956003
5,Poznań,Poznań,ul. Stablewskiego 6,88084,Poland,"ul. Stablewskiego 6,Poznań,Poland",52.3928384,16.8956003
6,Poznań,Poznań,ul. Łukasiewicza 16,95685,Poland,"ul. Łukasiewicza 16,Poznań,Poland",52.40832901,16.93361092
7,Poznań,Poznań,ul. Łukasiewicza 20a-22,88474,Poland,"ul. Łukasiewicza 20a-22,Poznań,Poland",52.40832901,16.93361092
8,Poznań,Poznań,ul. Dmowskiego 16,brak nr,Poland,"ul. Dmowskiego 16,Poznań,Poland",52.3924413,16.9005529
9,Poznań,Poznań,ul. Stablewskiego 3,88480,Poland,"ul. Stablewskiego 3,Poznań,Poland",52.3911609,16.9014797
10,Poznań,Poznań,ul. Hetmańska 69,88478,Poland,"ul. Hetmańska 69,Poznań,Poland",52.3894757,16.8969019
11,Poznań,Poznań,Osiedle Przyjaźni 3 altana śmietnikowa ,88601,Poland,"Osiedle Przyjaźni 3 altana śmietnikowa ,Poznań,Poland",52.4313494,16.9313287
12,Poznań,Poznań,Osiedle Przyjaźni 10 altana śmietnikowa,88593,Poland,"Osiedle Przyjaźni 10 altana śmietnikowa,Poznań,Poland",52.429819,16.9269329
13,Poznań,Poznań,Osiedle Przyjaźni 4-10 altana śmietnikowa,88596,Poland,"Osiedle Przyjaźni 4-10 altana śmietnikowa,Poznań,Poland",52.4304729,16.9270835
14,Poznań,Poznań,Osiedle Przyjaźni 8-9 altana śmietnikowa,88603,Poland,"Osiedle Przyjaźni 8-9 altana śmietnikowa,Poznań,Poland",52.4309767,16.9266528
15,Poznań,Poznań,Osiedle Przyjaźni 8-9 altana śmietnikowa,88604,Poland,"Osiedle Przyjaźni 8-9 altana śmietnikowa,Poznań,Poland",52.4309767,16.9266528
